_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,Latitude2,Longitude2,distance,min(distance)
4609601,04:53.8,CA,ON,East York,43.7062,-79.3709,POI3,45.521629,-73.566024,502.83017,502.83017
4609676,04:52.8,CA,AB,Edmonton,53.5181,-113.5797,POI1,53.546167,-113.485734,6.969966,6.969966
4609678,04:53.2,CA,AB,Calgary,51.1581,-113.938,POI1,53.546167,-113.485734,267.5091,267.5091
4609726,04:53.7,CA,ON,Mississauga,43.58256,-79.75477,POI3,45.521629,-73.566024,536.6948,536.6948
4609815,04:54.7,CA,ON,Toronto,43.6385,-79.3723,POI3,45.521629,-73.566024,506.2346,506.2346
4609825,04:54.8,CA,ON,Ottawa,45.349,-75.6615,POI3,45.521629,-73.566024,165.0796,165.0796
4609851,04:54.8,CA,ON,Toronto,43.6891,-79.3857,POI3,45.521629,-73.566024,504.72995,504.72995
4609925,04:54.9,CA,ON,Bowmanville,43.908,-78.707,POI3,45.521629,-73.566024,444.96567,444.96567
4609948,04:54.9,CA,ON,Toronto,43.7028,-79.3877,POI3,45.521629,-73.566024,504.21436,504.21436
4610150,04:52.7,CA,AB,Calgary,51.0233,-114.071,POI1,53.546167,-113.485734,283.55038,283.55038
4610232,04:53.4,CA,AB,Edmonton,53.4664,-113.4149,POI1,53.546167,-113.485734,10.045,10.045
4610340,04:54.7,CA,QC,Montréal,45.47164,-73.60464,POI3,45.521629,-73.566024,6.3228006,6.3228006
4610513,04:54.8,CA,ON,Toronto,43.6781,-79.2954,POI3,45.521629,-73.566024,498.72345,498.72345
4610607,04:54.9,CA,ON,Toronto,43.6891,-79.3857,POI3,45.521629,-73.566024,504.72995,504.72995
4610704,04:55.6,CA,AB,Calgary,51.1581,-113.938,POI1,53.546167,-113.485734,267.5091,267.5091
4610733,04:51.2,CA,AB,Calgary,50.8889,-113.991,POI1,53.546167,-113.485734,297.68542,297.68542
4610831,04:53.8,CA,AB,Edmonton,53.624,-113.441,POI1,53.546167,-113.485734,9.155183,9.155183
4610992,04:54.7,CA,ON,Saint Catharines,43.1593,-79.2615,POI3,45.521629,-73.566024,524.40466,524.40466
